timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-02-09 01:20:00,46580.24000000,46685.15000000,46450.01000000,46484.25000000,319.36139900,1612833899999,14871423.39543171,10737,130.09494800,6058779.42689716,0
2021-02-09 01:25:00,46484.24000000,46484.25000000,45908.27000000,46068.11000000,893.21101800,1612834199999,41257700.42096138,19123,404.01160300,18658459.30463033,0
2021-02-09 01:30:00,46064.61000000,46136.17000000,45816.98000000,45857.74000000,866.50837400,1612834499999,39867643.31379483,18182,469.20498600,21590653.35059423,0
2021-02-09 01:35:00,45852.99000000,46199.75000000,45833.62000000,46134.89000000,658.00503100,1612834799999,30311727.01988814,17847,376.02782400,17321735.58960532,0
2021-02-09 01:40:00,46136.63000000,46309.00000000,46111.00000000,46257.69000000,366.12937500,1612835099999,16917019.01386974,10046,203.53165000,9405225.25773476,0
2021-02-09 01:45:00,46257.68000000,46307.85000000,45917.54000000,45919.87000000,622.64268800,1612835399999,28727986.95684409,11124,335.87742300,15495937.43760173,0
2021-02-09 01:50:00,45918.93000000,46024.99000000,45858.00000000,45977.29000000,916.24743600,1612835699999,42080937.76907779,14188,560.66996200,25748373.52428530,0
2021-02-09 01:55:00,45976.94000000,46159.70000000,45897.74000000,46158.97000000,685.66198500,1612835999999,31557502.43338394,11973,308.28954000,14186659.07485061,0
2021-02-09 02:00:00,46158.97000000,46219.06000000,45950.24000000,45955.62000000,407.32302100,1612836299999,18790884.95468490,9533,133.71088600,6166773.69929400,0
2021-02-09 02:05:00,45955.61000000,46031.99000000,45567.00000000,45638.06000000,491.56587700,1612836599999,22501326.55786287,14760,215.13750700,9848288.81909763,0
2021-02-09 02:10:00,45630.04000000,45881.42000000,45628.37000000,45834.00000000,386.53503000,1612836899999,17689916.49335406,11199,218.51177000,10001808.40789720,0
2021-02-09 02:15:00,45834.01000000,45971.09000000,45787.41000000,45922.49000000,250.50041400,1612837199999,11495669.55193950,10048,142.61262500,6544890.53571676,0
2021-02-09 02:20:00,45922.49000000,46067.93000000,45831.68000000,45927.32000000,332.42501100,1612837499999,15276293.15418631,10674,190.13516100,8738528.56128517,0
2021-02-09 02:25:00,45929.82000000,46177.22000000,45929.81000000,46090.00000000,350.51102200,1612837799999,16151255.77069636,11100,211.35804000,9739046.73842922,0
2021-02-09 02:30:00,46089.99000000,46147.12000000,45961.19000000,45972.97000000,432.03711500,1612838099999,19908748.71338141,8884,154.40482000,7114463.89486712,0
2021-02-09 02:35:00,45972.96000000,46348.96000000,45957.24000000,46222.94000000,411.06405400,1612838399999,18993322.21345325,11808,239.89597000,11085483.45637935,0
2021-02-09 02:40:00,46222.95000000,46264.00000000,46041.59000000,46143.33000000,316.05354800,1612838699999,14586805.79829855,9792,143.28242800,6612101.27947098,0
2021-02-09 02:45:00,46143.34000000,46188.00000000,46032.63000000,46143.11000000,202.37069900,1612838999999,9328263.30209699,8505,124.42341300,5734802.10540003,0
2021-02-09 02:50:00,46143.11000000,46153.55000000,45883.22000000,45883.23000000,287.05677200,1612839299999,13202917.02643423,9645,125.88288500,5789126.15487090,0
2021-02-09 02:55:00,45883.23000000,45890.22000000,45680.00000000,45707.38000000,308.14358900,1612839599999,14098417.98059366,10399,134.47258700,6152204.76539092,0
2021-02-09 03:00:00,45707.39000000,45766.82000000,45500.00000000,45631.65000000,462.22917500,1612839899999,21092475.68839939,11325,218.19582200,9957968.29263026,0
2021-02-09 03:05:00,45631.63000000,45827.08000000,45630.93000000,45726.81000000,315.93835400,1612840199999,14451835.97177929,7807,165.95640800,7590382.67833215,0
2021-02-09 03:10:00,45726.81000000,45972.54000000,45726.80000000,45936.74000000,242.32828300,1612840499999,11114731.76279014,7111,128.53513500,5893828.59666809,0
2021-02-09 03:15:00,45934.81000000,46121.33000000,45924.37000000,46085.40000000,315.64193800,1612840799999,14527975.51238961,9725,163.52500800,7526242.95370758,0
2021-02-09 03:20:00,46085.49000000,46326.53000000,46058.17000000,46325.35000000,321.87935800,1612841099999,14859811.12114271,11234,169.30585900,7816999.75624958,0
2021-02-09 03:25:00,46325.34000000,46357.29000000,46151.23000000,46229.87000000,271.58709300,1612841399999,12553206.20886539,9750,117.84251700,5447605.00794480,0
2021-02-09 03:30:00,46229.88000000,46544.19000000,46186.23000000,46464.46000000,388.21206600,1612841699999,18018175.35262787,11096,215.80854200,10019141.64363874,0
2021-02-09 03:35:00,46464.30000000,46545.40000000,46362.01000000,46418.28000000,247.45377100,1612841999999,11488852.55891788,7841,122.41699200,5683651.80076554,0
2021-02-09 03:40:00,46418.28000000,46665.61000000,46350.14000000,46630.09000000,404.51968000,1612842299999,18816906.69600729,10574,228.28322200,10622156.32627654,0
2021-02-09 03:45:00,46630.09000000,46634.70000000,46493.21000000,46521.94000000,366.61223400,1612842599999,17069142.43176229,9362,167.47486400,7798208.23544330,0
2021-02-09 03:50:00,46521.93000000,46706.41000000,46466.00000000,46706.41000000,381.37280400,1612842899999,17766503.37054874,9989,165.42917800,7709254.17972955,0
2021-02-09 03:55:00,46706.41000000,46750.00000000,46536.74000000,46599.51000000,346.95450300,1612843199999,16175082.23428656,9395,161.39036300,7524890.20565835,0
2021-02-09 04:00:00,46599.51000000,46664.08000000,46287.38000000,46399.29000000,371.46258100,1612843499999,17242968.87404176,9098,155.59376000,7221871.29002101,0
2021-02-09 04:05:00,46399.29000000,46698.39000000,46385.06000000,46608.39000000,294.18756200,1612843799999,13692385.47316220,7697,171.59305900,7984291.94695537,0
2021-02-09 04:10:00,46603.40000000,46613.39000000,46329.50000000,46350.32000000,493.64252200,1612844099999,22919121.51097027,11141,252.74253300,11734076.85617836,0
2021-02-09 04:15:00,46350.32000000,46415.15000000,46265.78000000,46350.16000000,333.48307800,1612844399999,15450729.76605355,8438,177.85055400,8240559.26620207,0
2021-02-09 04:20:00,46350.15000000,46482.52000000,46340.00000000,46453.51000000,209.15970300,1612844699999,9705528.45951291,6559,114.16668000,5297415.01398516,0
2021-02-09 04:25:00,46453.51000000,46561.79000000,46335.06000000,46407.71000000,257.87815900,1612844999999,11977067.94732586,7377,128.57043500,5972086.84727017,0
2021-02-09 04:30:00,46407.72000000,46479.68000000,46198.76000000,46277.05000000,296.68646400,1612845299999,13741182.52159114,7028,154.44006800,7153088.17255419,0
2021-02-09 04:35:00,46276.10000000,46446.82000000,46255.87000000,46376.20000000,204.05869600,1612845599999,9462385.54027842,6267,101.69509500,4715276.00991154,0
2021-02-09 04:40:00,46376.20000000,46578.94000000,46372.72000000,46559.06000000,244.37816100,1612845899999,11365698.04787789,6743,158.11237500,7352993.85519767,0
2021-02-09 04:45:00,46559.04000000,46635.09000000,46332.69000000,46364.41000000,299.90466900,1612846199999,13945262.52756838,7306,164.71390800,7659644.51124870,0
2021-02-09 04:50:00,46364.41000000,46485.04000000,46350.00000000,46367.11000000,186.50995800,1612846499999,8652309.04667147,5449,105.95197200,4915142.38667124,0
2021-02-09 04:55:00,46367.11000000,46888.00000000,46344.31000000,46837.57000000,508.39184200,1612846799999,23742823.67174749,12761,302.24011600,14121428.80122973,0
2021-02-09 05:00:00,46837.57000000,47041.92000000,46786.07000000,46898.50000000,612.56899100,1612847099999,28763510.63402426,12763,350.84349300,16475309.98315640,0
2021-02-09 05:05:00,46899.45000000,47025.51000000,46847.49000000,46934.25000000,288.42882000,1612847399999,13534920.34784222,6830,140.94040900,6613719.39422987,0
2021-02-09 05:10:00,46938.16000000,46940.41000000,46780.00000000,46792.15000000,271.36662000,1612847699999,12716579.37165316,5489,126.34852800,5920848.98583445,0
2021-02-09 05:15:00,46799.23000000,46831.41000000,46627.84000000,46649.99000000,160.09496600,1612847999999,7482703.34642014,5803,70.97551400,3318081.82559881,0
2021-02-09 05:20:00,46649.99000000,46844.11000000,46641.78000000,46750.00000000,260.56505500,1612848299999,12175309.81005106,6350,126.61507500,5917477.81974476,0
2021-02-09 05:25:00,46750.01000000,46797.83000000,46657.96000000,46759.63000000,143.28634200,1612848599999,6694371.21340420,4772,81.40069800,3803311.39610141,0
2021-02-09 05:30:00,46749.19000000,46947.60000000,46743.87000000,46933.58000000,178.32628900,1612848899999,8356302.05710306,5965,89.95814100,4214998.63248263,0
2021-02-09 05:35:00,46933.58000000,46999.00000000,46471.13000000,46474.54000000,570.98727500,1612849199999,26629631.95594688,13139,259.30936700,12095559.99358135,0
2021-02-09 05:40:00,46471.00000000,46570.51000000,46455.70000000,46546.16000000,211.41507600,1612849499999,9831008.33289227,6842,99.64452700,4633415.16705262,0
2021-02-09 05:45:00,46546.16000000,46700.00000000,46510.00000000,46700.00000000,198.94440500,1612849799999,9273152.90240151,6153,107.27228500,5000498.47739218,0
2021-02-09 05:50:00,46699.99000000,47034.97000000,46699.99000000,47003.45000000,381.84672000,1612850099999,17902036.06656674,10606,194.12079300,9101161.77323211,0
2021-02-09 05:55:00,47003.45000000,47219.13000000,46749.23000000,46850.12000000,727.76693400,1612850399999,34222801.78260338,16691,364.22867200,17136211.72761544,0
2021-02-09 06:00:00,46852.68000000,46916.96000000,46623.18000000,46680.01000000,306.88987000,1612850699999,14346747.99216419,8525,154.46747300,7220892.47506035,0
2021-02-09 06:05:00,46680.00000000,46748.81000000,46563.31000000,46571.92000000,278.21142300,1612850999999,12980741.68745678,7771,124.70011900,5818351.48484398,0
2021-02-09 06:10:00,46571.91000000,46847.41000000,46563.31000000,46836.24000000,254.58930700,1612851299999,11897067.15875630,6422,136.95961800,6399481.68302447,0
2021-02-09 06:15:00,46836.25000000,47049.87000000,46831.27000000,47046.07000000,303.19005800,1612851599999,14231132.96251282,8973,155.07539300,7278456.74476335,0
2021-02-09 06:20:00,47043.33000000,47112.25000000,46874.85000000,47094.79000000,433.38862000,1612851899999,20376678.18437397,9650,224.40320200,10551755.05927742,0
2021-02-09 06:25:00,47095.27000000,47177.43000000,46969.43000000,47063.10000000,351.11149900,1612852199999,16528830.90149806,7833,190.93668900,8989509.35627815,0
2021-02-09 06:30:00,47063.10000000,47222.00000000,46950.53000000,47068.12000000,676.69640100,1612852499999,31861174.22246614,10397,479.32870500,22568701.76354223,0
2021-02-09 06:35:00,47072.18000000,47585.38000000,47061.59000000,47443.92000000,1140.73077500,1612852799999,54081083.33245494,23041,673.29818000,31924872.67993270,0
2021-02-09 06:40:00,47443.91000000,47699.97000000,47350.00000000,47698.01000000,549.66667200,1612853099999,26116822.92340420,12508,320.54949600,15229948.71586679,0
2021-02-09 06:45:00,47692.20000000,47836.00000000,47500.01000000,47754.75000000,966.04920400,1612853399999,46081840.82471625,16753,598.15563000,28533331.84301055,0
2021-02-09 06:50:00,47754.76000000,47998.00000000,47545.76000000,47962.76000000,799.65115200,1612853699999,38193520.24409832,13856,509.01612500,24315452.48180237,0
2021-02-09 06:55:00,47963.24000000,48140.90000000,47825.54000000,48111.18000000,892.18081400,1612853999999,42815010.63159673,18611,512.60338700,24600904.35405387,0
